iter,f1_macro,f1_micro
0,0.84534,0.91834
50,0.84416,0.91756
100,0.84154,0.91577
150,0.83943,0.91383
200,0.83737,0.9118
250,0.83535,0.91009
300,0.83449,0.90923
350,0.83166,0.90729
400,0.82906,0.90557
450,0.82764,0.90425
500,0.82649,0.90332
550,0.8249,0.90207
600,0.82402,0.90121
650,0.823,0.90051
700,0.82181,0.89966
750,0.81986,0.89865
800,0.81857,0.89787
850,0.81657,0.89662
900,0.81535,0.89569
950,0.81528,0.89545
